company_name,domain,industry,sub_industry,employee_count,founded_year,headquarters,hq_country,last_funding_year,funding_total_usd,headcount_6mo_delta_pct,founder_is_ceo,has_pe_backing,tech_stack_signals,ai_job_posts_count,recent_news_count,description
Turso,turso.tech,B2B SaaS,Database,30,2022,Seattle WA,US,2024,9000000,60,True,False,"rust,sqlite,libsql",5,4,Edge-native SQLite database service for low-latency globally distributed applications
ClickHouse Inc,clickhouse.com,B2B SaaS,Database,250,2021,San Francisco CA,US,2022,300000000,22,True,True,"cpp,kubernetes,aws,gcp",6,17,Managed cloud version of the high-performance ClickHouse open-source columnar database
QuestDB,questdb.io,B2B SaaS,Database,40,2014,London UK,UK,2022,15000000,15,True,False,"java,sql,kubernetes",3,4,High-performance time-series database engineered for financial market and IoT workloads
StarTree,startree.ai,B2B SaaS,Database,90,2019,Mountain View CA,US,2022,47000000,12,True,True,"java,pinot,kubernetes,aws",7,5,Real-time analytics platform built on Apache Pinot for user-facing analytics
Materialize,materialize.com,B2B SaaS,Database,120,2019,New York NY,US,2024,60000000,8,True,True,"rust,sql,kubernetes",6,7,Operational data warehouse using streaming SQL for sub-second incremental views
Fivetran,fivetran.com,B2B SaaS,Data Engineering,1200,2013,Oakland CA,US,2021,565000000,-15,False,True,"python,go,kubernetes,gcp",5,12,Automated data pipeline platform for moving data from SaaS tools into the warehouse
Rippling,rippling.com,B2B SaaS,HR Tech,3000,2016,San Francisco CA,US,2024,200000000,30,True,True,"python,react,aws,postgres",10,30,All-in-one HR IT and finance platform replacing payroll device management and identity tools
Deel,deel.com,B2B SaaS,HR Tech,4500,2019,San Francisco CA,US,2024,300000000,40,True,True,"react,nodejs,aws,postgres",8,28,Global employment payroll and contractor management platform for distributed teams
Lattice,lattice.com,B2B SaaS,HR Tech,650,2015,San Francisco CA,US,2022,175000000,-2,True,True,"react,ruby,postgres,aws",4,9,People management platform for performance reviews engagement surveys and OKRs
Brex,brex.com,B2B SaaS,FinTech,1300,2017,San Francisco CA,US,2022,300000000,-12,True,True,"react,go,kubernetes,aws",6,18,Corporate card and spend management platform for startups and growing companies
Ramp,ramp.com,B2B SaaS,FinTech,800,2019,New York NY,US,2024,300000000,28,True,True,"react,go,postgres,aws",11,32,Corporate card spend management and finance automation platform for finance teams
Mercury,mercury.com,B2B SaaS,FinTech,500,2017,San Francisco CA,US,2023,120000000,18,True,True,"react,ruby,postgres,aws",5,14,Banking platform purpose-built for startups including checking savings and credit
Workato,workato.com,B2B SaaS,iPaaS,1100,2013,Mountain View CA,US,2021,200000000,-7,True,True,"java,ruby,react,aws",4,8,Enterprise iPaaS for automating workflows across SaaS apps with low-code recipes
Zapier,zapier.com,B2B SaaS,iPaaS,800,2011,San Francisco CA,US,2021,1000000,-3,True,False,"python,react,django,aws",6,11,Workflow automation platform connecting thousands of apps with no-code triggers and actions
Make,make.com,B2B SaaS,iPaaS,250,2012,Prague,CZ,2020,11000000,10,False,True,"react,nodejs,aws",2,4,Visual no-code automation platform integrating apps and APIs in complex workflows
Tray.io,tray.io,B2B SaaS,iPaaS,300,2012,London UK,UK,2021,42000000,-8,False,True,"javascript,nodejs,aws",1,3,General automation platform letting ops teams build complex integrations across SaaS apps
Loops,loops.so,B2B SaaS,Marketing,18,2021,Austin TX,US,2024,4000000,55,True,False,"nextjs,typescript,postgres,vercel",2,4,Modern email platform for SaaS companies focused on transactional and lifecycle messaging
Customer.io,customer.io,B2B SaaS,Marketing,400,2012,Portland OR,US,2021,15000000,4,True,True,"ruby,react,postgres,aws",2,5,Behavioral messaging platform for sending email push and SMS based on customer events
Pendo,pendo.io,B2B SaaS,Product Analytics,900,2013,Raleigh NC,US,2021,310000000,-10,False,True,"java,react,postgres,aws",3,7,Product analytics in-app guidance and feedback platform for software product teams
Mixpanel,mixpanel.com,B2B SaaS,Product Analytics,400,2009,San Francisco CA,US,2021,200000000,-15,False,True,"python,react,clickhouse,aws",2,6,Product analytics platform for understanding user behavior and conversion funnels
Heap,heap.io,B2B SaaS,Product Analytics,380,2013,San Francisco CA,US,2020,40000000,-12,False,True,"python,react,postgres,aws",3,5,Auto-capture digital insights platform for product analytics and customer journey analysis
Amplitude,amplitude.com,B2B SaaS,Product Analytics,750,2012,San Francisco CA,US,2021,150000000,-18,True,False,"python,react,clickhouse,aws",5,9,Public digital analytics platform for product teams measuring engagement and retention
LaunchDarkly,launchdarkly.com,B2B SaaS,DevOps,500,2014,Oakland CA,US,2021,200000000,-9,False,True,"go,react,aws,postgres",3,7,Feature management platform for progressive delivery feature flags and experimentation
Statsig,statsig.com,B2B SaaS,DevOps,90,2021,Bellevue WA,US,2023,43000000,40,True,True,"go,react,aws,bigquery",6,8,Product analytics and experimentation platform built by ex-Facebook growth engineers
Contentful,contentful.com,B2B SaaS,CMS,750,2013,Berlin,DE,2021,175000000,-14,False,True,"javascript,nodejs,aws",2,5,Headless content management platform for building digital experiences across channels
Sanity,sanity.io,B2B SaaS,CMS,180,2015,Oslo,NO,2024,55000000,18,True,False,"typescript,react,postgres,aws",4,6,Programmable content platform with structured content APIs and real-time collaboration
Storyblok,storyblok.com,B2B SaaS,CMS,250,2017,Linz,AT,2022,80000000,15,True,True,"vue,nodejs,aws",2,4,Headless CMS with a visual editor enabling marketing teams to ship without engineers
